Repository Name,Is Git Repository,License Type,Git History Intact,First Commit Date,Last Commit Date,Development Span (Months),Lines of Code (Code),Lines of Code (Comments),Lines of Code (Blank),Total Files,Total Commits,Meaningful Commit Count,Commits per Month,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available,Number of Contributors with commits,Total Contributors (All-Time),Contributor List,Branch Count,LLM Tokens,Lexical Tokens,Code Duplication (Weighted %),Code Complexity,AI Detection Percentage,Language Count,Languages Used,Frontend Languages,Backend Languages,Frameworks Used,Frontend Frameworks,Backend Frameworks,Languages Percentage (Bytes > 5%),Frameworks Percentage (Bytes > 5%),Databases Used,Third-Party APIs,Setup Guidelines,Security Findings,Documentation Quality,Repository Rating Score
Cpp-codes,True,,True,2024-01-29,2025-08-29,19.0,20170,3147,1651,390,30,18,1.6 commits/mo,0,0,0,0,True,2,4,"Yogesh Saini, yogesh saini, Saini-Yogesh, Yogesh Saini",1,157327,155971,6.9%,Low,24.7%,3,C++ | C | HTML,HTML,C | C++,,,,HTML (67.4%) | C++ (29.3%),None Detected,,,Not found in README,Clean,Low,5.3
Currency-Converter,True,,True,2024-06-04,2024-06-05,0.0,343,0,16,4,2,1,0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,1553,1451,0.0%,Low,0.0%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,,,,JavaScript (56.2%) | HTML (23.3%) | CSS (20.5%),None Detected,,,Not found in README,Clean,Low,1.35
cursorIDE,True,,True,2025-09-04,2025-09-04,0.0,329,6,49,9,4,4,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,2118,2488,0.0%,Low,8.1%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (83.5%) | CSS (13.0%),React (86.5%) | Express (13.5%),,,Not found in README,Clean,Low,0.99
DataScope,True,,True,2026-07-08,2026-07-09,0.0,7024,322,708,38,5,5,0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,65328,68718,0.0%,Moderate,9.1%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (93.1%) | CSS (5.7%),React (92.6%),Databricks,,Present,Clean,High,2.36
E-Commerce-Store,True,,True,2024-12-27,2024-12-31,0.1,5892,55,820,88,9,5,90.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,37188,40083,0.2%,Low,9.5%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (91.4%) | CSS (8.4%),React (94.3%),MongoDB,,Present,Clean,High,2.4
ELD-Route-Planner,True,,True,2026-07-19,2026-07-19,0.0,5195,157,672,39,6,5,0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,28851,28805,0.0%,Low,7.3%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,"code_imports: React,Express",React,Express,JavaScript (70.8%) | CSS (28.6%),React (86.7%) | Next.js (11.0%),,,Not found in README,Review Required (1),Low,2.33
envkit,True,,True,2026-09-09,2026-09-09,0.0,662,431,126,9,2,2,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, saini-yogesh",1,8407,9202,0.0%,Moderate,9.2%,2,JavaScript | TypeScript,JavaScript | TypeScript,,,,,JavaScript (81.8%) | TypeScript (18.2%),None Detected,,,Not found in README,Clean,Low,1.41
Expense-Tracker-Application,True,,True,2025-05-08,2026-01-25,8.6,2005,36,292,38,19,16,2.2 commits/mo,0,0,0,0,True,2,3,"Yogesh Saini, Yogesh Saini, Saini-Yogesh",1,11074,12403,0.0%,Low,8.3%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (78.8%) | CSS (16.9%),React (95.5%),MongoDB,,Present,Review Required (2),High,2.76
fibonacci-tree-visualizer,True,,True,2025-06-28,2025-06-29,0.0,410,11,61,9,5,4,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,1910,1957,0.0%,Low,10.0%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,package.json: react | code_imports: React,React,,JavaScript (68.4%) | HTML (17.3%) | CSS (14.3%),React (100.0%),,,Present,Clean,Medium,1.4
find-owner-off-job,True,,True,2026-06-11,2026-07-10,0.9,36,0,10,1,8,2,8.9 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,278,363,0.0%,Low,0.0%,1,JavaScript,JavaScript,,package.json: express | code_imports: Express,,Express,JavaScript (100.0%),Express (100.0%),,,Not found in README,Clean,Low,1.48
gym-website-demo,True,,True,2026-03-09,2026-03-14,0.2,1301,114,481,27,9,8,45.0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,4359,4537,0.0%,Low,9.7%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,code_imports: React,React,,JavaScript (53.5%) | CSS (41.1%) | HTML (5.4%),React (100.0%),,,Not found in README,Clean,Low,2.68
iNoteBook,True,,True,2024-06-24,2024-07-11,0.5,1053,68,56,23,31,29,62.0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,2,7511,8091,0.0%,Low,8.1%,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (94.6%),React (57.5%) | Express (25.0%) | Next.js (17.5%),MongoDB,,Present,Review Required (3),High,2.57
JS,True,,True,2024-05-28,2024-06-06,0.3,737,753,147,28,7,3,23.3 commits/mo,0,0,0,0,True,2,4,"Saini-Yogesh, Saini-Yogesh0, Yogesh Saini, yogesh saini",1,8816,11380,0.0%,Moderate,19.4%,4,JavaScript | CSS | HTML | C++,CSS | HTML | JavaScript,C++,,,,JavaScript (76.6%) | HTML (13.7%) | CSS (9.5%),Next.js (100.0%),,,Not found in README,Clean,Low,1.53
LangHire,True,,True,2025-09-17,2025-09-17,0.0,1599,346,415,9,2,2,0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,18049,16799,0.0%,Moderate,14.3%,1,Python,,Python,,,,Python (100.0%),Django (100.0%),,,Present,Clean,High,1.22
mens-salon-demo,True,,True,2026-03-11,2026-03-14,0.1,2540,13,304,27,4,3,40.0 commits/mo,0,0,0,0,True,1,1,Saini-Yogesh,1,6966,7205,0.0%,Low,10.2%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,code_imports: React,React,,CSS (50.0%) | JavaScript (47.5%),React (82.9%) | Express (17.1%),,,Not found in README,Clean,Low,2.47
Mini-ATM,True,,True,2024-04-14,2024-04-14,0.0,185,2,5,2,3,2,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, yogesh saini",1,1540,1503,0.0%,Moderate,0.0%,1,C++,,C++,,,,C++ (100.0%),None Detected,,,Present,Clean,Medium,1.33
Mongoose,True,,True,2024-10-12,2024-10-21,0.3,543,136,61,13,35,34,116.7 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,3621,4082,1.0%,Low,20.3%,3,JavaScript | EJS | CSS,CSS | JavaScript,,package.json: express | code_imports: Express,,Express,JavaScript (95.2%),Express (63.7%) | Next.js (36.3%),MongoDB,,Not found in README,Review Required (4),Low,1.86
Netflix_SQL_Project,True,,True,2025-08-29,2025-09-04,0.2,155,28,62,3,3,3,15.0 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,1374,1127,0.0%,Moderate,10.4%,0,,,,,,,N/A,None Detected,Sql (Schema Found),,Not found in README,Clean,High,0.97
News-Monkey,True,,True,2024-06-20,2024-10-16,3.8,419,24,32,8,9,3,2.4 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",2,2806,3049,0.0%,Low,9.0%,2,JavaScript | HTML,HTML | JavaScript,,package.json: react | code_imports: React,React,,JavaScript (84.9%) | HTML (15.1%),React (73.6%) | Next.js (26.4%),,,Present,Review Required (1),High,1.93
Next-app,True,,True,2024-10-05,2024-10-07,0.1,323,28,36,22,21,28,210.0 commits/mo,4,1,3,3,True,2,2,"Yogesh Saini, Yogesh Saini",3,2132,2480,9.2%,Low,25.7%,2,JavaScript | CSS,CSS | JavaScript,,"package.json: react,next | code_imports: React,Next.js",React,,JavaScript (94.6%) | CSS (5.4%),Next.js (91.4%) | React (8.6%),,,Present,Clean,Medium,1.61
NodeJs,True,,True,2024-07-05,2024-07-11,0.2,76,20,19,12,3,2,15.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,780,1007,0.0%,Moderate,20.6%,1,JavaScript,JavaScript,,package.json: express,,Express,JavaScript (100.0%),None Detected,,,Not found in README,Clean,Low,1.33
ParkNova,True,,True,2026-06-18,2026-06-21,0.1,6859,257,791,59,27,11,270.0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,42869,43803,0.0%,Low,8.2%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (86.4%) | CSS (12.1%),React (67.7%) | Next.js (27.9%),Sql (Schema Found) | Supabase,,Present,Clean,High,3.68
Physioplan-Assignment,True,,True,2024-10-30,2024-10-30,0.0,713,61,78,12,7,6,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,4025,4153,0.0%,Low,8.3%,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (73.1%) | CSS (18.1%) | HTML (8.8%),React (67.8%) | Express (32.2%),MongoDB,,Present,Review Required (1),Medium,1.49
