repo_name,is_git,license_type,first_commit_date,last_commit_date,loc_code,loc_comment,loc_blank,loc_files,lang_count,languages,languages_frontend,languages_backend,commits,contributors,all_contributors_count,all_contributors,branch_count,meaningful_commit_count,development_span_months,commits_per_month,git_history_intact,tokens_llm,lexical_token,duplication_weighted_percent,code_complexity,ai_detection_percent,frameworks,framework_frontend,framework_backend,databases_used,third_party_apis,setup_guidelines,security_findings,documentation_quality,repo_rating_score,repo_rating_label,languages_percentage_bytes(>5%),frameworks_percentage_bytes(>5%),total_time_seconds,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available
Contact-list,True,,2024-04-13,2024-07-26,434,15,29,5,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,15,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",1,10,3.4,4.4 commits/mo,True,1755,1866,0.0%,Low,11.1%,,,,,,Not found in README,Clean,Low,1.96,Poor,JavaScript (61.1%) | CSS (21.1%) | HTML (17.8%),None Detected,6.07,0,0,0,0,True
Cpp-codes,True,,2024-01-29,2025-08-29,20170,3147,1651,390,3,C++ | C | HTML,HTML,C | C++,30,2,4,"Yogesh Saini, yogesh saini, Saini-Yogesh, Yogesh Saini",1,18,19.0,1.6 commits/mo,True,157327,155971,6.9%,Low,24.7%,,,,,,Not found in README,Clean,Low,5.3,Fair,HTML (67.4%) | C++ (29.3%),None Detected,9.19,0,0,0,0,True
Currency-Converter,True,,2024-06-04,2024-06-05,343,0,16,4,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,2,2,2,"Saini-Yogesh, Yogesh Saini",1,1,0.0,0 commits/mo,True,1553,1451,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Low,1.35,Poor,JavaScript (56.2%) | HTML (23.3%) | CSS (20.5%),None Detected,5.31,0,0,0,0,True
cursorIDE,True,,2025-09-04,2025-09-04,329,6,49,9,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,4,1,1,Yogesh Saini,1,4,0.0,0 commits/mo,True,2118,2488,0.0%,Low,8.1%,"package.json: react,express | code_imports: React,Express",React,Express,,,Not found in README,Clean,Low,0.99,Poor,JavaScript (83.5%) | CSS (13.0%),React (86.5%) | Express (13.5%),5.48,0,0,0,0,True
DataScope,True,,2026-07-08,2026-07-09,7024,322,708,38,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,5,2,2,"Saini-Yogesh, Yogesh Saini",1,5,0.0,0 commits/mo,True,65328,68718,0.0%,Moderate,9.1%,"package.json: react,express | code_imports: React,Express",React,Express,Databricks,,Present,Clean,High,2.36,Poor,JavaScript (93.1%) | CSS (5.7%),React (92.6%),5.96,0,0,0,0,True
E-Commerce-Store,True,,2024-12-27,2024-12-31,5892,55,820,88,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,9,2,2,"Yogesh Saini, Yogesh Saini",1,5,0.1,90.0 commits/mo,True,37188,40083,0.2%,Low,9.5%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Clean,High,2.4,Poor,JavaScript (91.4%) | CSS (8.4%),React (94.3%),6.29,0,0,0,0,True
ELD-Route-Planner,True,,2026-07-19,2026-07-19,5195,157,672,39,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,6,2,2,"Saini-Yogesh, Yogesh Saini",1,5,0.0,0 commits/mo,True,28851,28805,0.0%,Low,7.3%,"code_imports: React,Express",React,Express,,,Not found in README,Review Required (1),Low,2.33,Poor,JavaScript (70.8%) | CSS (28.6%),React (86.7%) | Next.js (11.0%),6.21,0,0,0,0,True
envkit,True,,2026-09-09,2026-09-09,662,431,126,9,2,JavaScript | TypeScript,JavaScript | TypeScript,,2,2,2,"Yogesh Saini, saini-yogesh",1,2,0.0,0 commits/mo,True,8407,9202,0.0%,Moderate,9.2%,,,,,,Not found in README,Clean,Low,1.41,Poor,JavaScript (81.8%) | TypeScript (18.2%),None Detected,5.5,0,0,0,0,True
Expense-Tracker-Application,True,,2025-05-08,2026-01-25,2005,36,292,38,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,19,2,3,"Yogesh Saini, Yogesh Saini, Saini-Yogesh",1,16,8.6,2.2 commits/mo,True,11074,12403,0.0%,Low,8.3%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Review Required (2),High,2.76,Poor,JavaScript (78.8%) | CSS (16.9%),React (95.5%),6.28,0,0,0,0,True
fibonacci-tree-visualizer,True,,2025-06-28,2025-06-29,410,11,61,9,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,5,2,2,"Yogesh Saini, Yogesh Saini",1,4,0.0,0 commits/mo,True,1910,1957,0.0%,Low,10.0%,package.json: react | code_imports: React,React,,,,Present,Clean,Medium,1.4,Poor,JavaScript (68.4%) | HTML (17.3%) | CSS (14.3%),React (100.0%),6.53,0,0,0,0,True
find-owner-off-job,True,,2026-06-11,2026-07-10,36,0,10,1,1,JavaScript,JavaScript,,8,2,2,"Saini-Yogesh, Yogesh Saini",1,2,0.9,8.9 commits/mo,True,278,363,0.0%,Low,0.0%,package.json: express | code_imports: Express,,Express,,,Not found in README,Clean,Low,1.48,Poor,JavaScript (100.0%),Express (100.0%),5.32,0,0,0,0,True
gym-website-demo,True,,2026-03-09,2026-03-14,1301,114,481,27,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,9,2,2,"Saini-Yogesh, Yogesh Saini",1,8,0.2,45.0 commits/mo,True,4359,4537,0.0%,Low,9.7%,code_imports: React,React,,,,Not found in README,Clean,Low,2.68,Poor,JavaScript (53.5%) | CSS (41.1%) | HTML (5.4%),React (100.0%),7.69,0,0,0,0,True
iNoteBook,True,,2024-06-24,2024-07-11,1053,68,56,23,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,31,1,1,Yogesh Saini,2,29,0.5,62.0 commits/mo,True,7511,8091,0.0%,Low,8.1%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Review Required (3),High,2.57,Poor,JavaScript (94.6%),React (57.5%) | Express (25.0%) | Next.js (17.5%),6.25,0,0,0,0,True
JS,True,,2024-05-28,2024-06-06,737,753,147,28,4,JavaScript | CSS | HTML | C++,CSS | HTML | JavaScript,C++,7,2,4,"Saini-Yogesh, Saini-Yogesh0, Yogesh Saini, yogesh saini",1,3,0.3,23.3 commits/mo,True,8816,11380,0.0%,Moderate,19.4%,,,,,,Not found in README,Clean,Low,1.53,Poor,JavaScript (76.6%) | HTML (13.7%) | CSS (9.5%),Next.js (100.0%),6.42,0,0,0,0,True
LangHire,True,,2025-09-17,2025-09-17,1599,346,415,9,1,Python,,Python,2,1,1,Yogesh Saini,1,2,0.0,0 commits/mo,True,18049,16799,0.0%,Moderate,14.3%,,,,,,Present,Clean,High,1.22,Poor,Python (100.0%),Django (100.0%),5.63,0,0,0,0,True
mens-salon-demo,True,,2026-03-11,2026-03-14,2540,13,304,27,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,4,1,1,Saini-Yogesh,1,3,0.1,40.0 commits/mo,True,6966,7205,0.0%,Low,10.2%,code_imports: React,React,,,,Not found in README,Clean,Low,2.47,Poor,CSS (50.0%) | JavaScript (47.5%),React (82.9%) | Express (17.1%),5.75,0,0,0,0,True
Mini-ATM,True,,2024-04-14,2024-04-14,185,2,5,2,1,C++,,C++,3,2,2,"Yogesh Saini, yogesh saini",1,2,0.0,0 commits/mo,True,1540,1503,0.0%,Moderate,0.0%,,,,,,Present,Clean,Medium,1.33,Poor,C++ (100.0%),None Detected,5.6,0,0,0,0,True
Mongoose,True,,2024-10-12,2024-10-21,543,136,61,13,3,JavaScript | EJS | CSS,CSS | JavaScript,,35,2,2,"Yogesh Saini, Yogesh Saini",1,34,0.3,116.7 commits/mo,True,3621,4082,1.0%,Low,20.3%,package.json: express | code_imports: Express,,Express,MongoDB,,Not found in README,Review Required (4),Low,1.86,Poor,JavaScript (95.2%),Express (63.7%) | Next.js (36.3%),6.16,0,0,0,0,True
Netflix_SQL_Project,True,,2025-08-29,2025-09-04,155,28,62,3,0,,,,3,1,1,Yogesh Saini,1,3,0.2,15.0 commits/mo,True,1374,1127,0.0%,Moderate,10.4%,,,,Sql (Schema Found),,Not found in README,Clean,High,0.97,Poor,N/A,None Detected,5.81,0,0,0,0,True
News-Monkey,True,,2024-06-20,2024-10-16,419,24,32,8,2,JavaScript | HTML,HTML | JavaScript,,9,2,2,"Yogesh Saini, Yogesh Saini",2,3,3.8,2.4 commits/mo,True,2806,3049,0.0%,Low,9.0%,package.json: react | code_imports: React,React,,,,Present,Review Required (1),High,1.93,Poor,JavaScript (84.9%) | HTML (15.1%),React (73.6%) | Next.js (26.4%),5.72,0,0,0,0,True
Next-app,True,,2024-10-05,2024-10-07,323,28,36,22,2,JavaScript | CSS,CSS | JavaScript,,21,2,2,"Yogesh Saini, Yogesh Saini",3,28,0.1,210.0 commits/mo,True,2132,2480,9.2%,Low,25.7%,"package.json: react,next | code_imports: React,Next.js",React,,,,Present,Clean,Medium,1.61,Poor,JavaScript (94.6%) | CSS (5.4%),Next.js (91.4%) | React (8.6%),10.37,4,1,3,3,True
NodeJs,True,,2024-07-05,2024-07-11,76,20,19,12,1,JavaScript,JavaScript,,3,2,2,"Yogesh Saini, Yogesh Saini",1,2,0.2,15.0 commits/mo,True,780,1007,0.0%,Moderate,20.6%,package.json: express,,Express,,,Not found in README,Clean,Low,1.33,Poor,JavaScript (100.0%),None Detected,5.73,0,0,0,0,True
ParkNova,True,,2026-06-18,2026-06-21,6859,257,791,59,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,27,2,2,"Saini-Yogesh, Yogesh Saini",1,11,0.1,270.0 commits/mo,True,42869,43803,0.0%,Low,8.2%,"package.json: react,express | code_imports: React,Express",React,Express,Sql (Schema Found) | Supabase,,Present,Clean,High,3.68,Poor,JavaScript (86.4%) | CSS (12.1%),React (67.7%) | Next.js (27.9%),6.48,0,0,0,0,True
Physioplan-Assignment,True,,2024-10-30,2024-10-30,713,61,78,12,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,7,2,2,"Yogesh Saini, Yogesh Saini",1,6,0.0,0 commits/mo,True,4025,4153,0.0%,Low,8.3%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Review Required (1),Medium,1.49,Poor,JavaScript (73.1%) | CSS (18.1%) | HTML (8.8%),React (67.8%) | Express (32.2%),5.74,0,0,0,0,True
Portfolio,True,,2024-07-07,2026-06-17,4453,71,517,41,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,53,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",2,28,23.3,2.3 commits/mo,True,16135,16528,0.0%,Low,9.4%,package.json: react | code_imports: React,React,,,,Present,Clean,Medium,4.32,Fair,JavaScript (51.7%) | CSS (37.3%) | HTML (10.9%),React (62.8%) | Next.js (37.2%),8.77,0,0,0,0,True
Python,True,,2025-07-23,2025-07-23,62,27,18,6,1,Python,,Python,6,2,2,"Yogesh Saini, Yogesh Saini",1,4,0.0,0 commits/mo,True,892,948,0.0%,Moderate,21.1%,,,,,,Not found in README,Clean,Low,1.34,Poor,Python (100.0%),None Detected,5.57,0,0,0,0,True
QR-Code-Maker,True,,2024-04-23,2024-06-05,128,0,19,3,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,7,2,3,"Yogesh Saini, Saini-Yogesh, yogesh saini",1,7,1.4,5.0 commits/mo,True,169,185,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Medium,1.54,Poor,CSS (54.7%) | HTML (22.8%) | JavaScript (22.5%),None Detected,5.43,0,0,0,0,True
rajasthanconnect,True,,2026-06-25,2026-07-19,24846,805,2986,200,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,49,3,3,"Saini-Yogesh, Yogesh Saini, Vercel",1,37,0.8,61.2 commits/mo,True,151540,157068,0.4%,Low,11.1%,"package.json: react,express | code_imports: React,Express",React,Express,PostgreSQL | Redis | Sql (Schema Found) | Supabase,,Present,Clean,High,4.71,Fair,JavaScript (72.3%) | CSS (26.8%),React (91.8%),9.34,1,0,1,1,True
reduxApp,True,,2024-07-02,2024-07-11,172,6,14,11,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,7,1,1,Yogesh Saini,2,6,0.3,23.3 commits/mo,True,966,1109,0.0%,Low,7.9%,package.json: react | code_imports: React,React,,,,Present,Clean,High,1.04,Poor,JavaScript (74.3%) | HTML (19.4%) | CSS (6.3%),React (100.0%),5.67,0,0,0,0,True
restaurant-website-demo,True,,2026-03-11,2026-06-03,3414,41,450,38,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,15,1,1,Saini-Yogesh,1,5,2.8,5.4 commits/mo,True,12264,13076,0.0%,Low,9.1%,code_imports: React,React,,,,Not found in README,Clean,Low,3.16,Poor,JavaScript (56.8%) | CSS (40.5%),React (78.3%) | Next.js (21.7%),7.53,0,0,0,0,True
Resumes,True,,2024-08-01,2025-08-03,0,0,0,0,0,,,,12,2,2,"Yogesh Saini, Yogesh Saini",1,8,12.0,1.0 commits/mo,True,0,0,0.0%,N/A,0.0%,,,,,,Not found in README,Clean,Low,1.91,Poor,N/A,None Detected,7.03,0,0,0,0,True
Rock-Paper-Scissors-Game,True,,2024-06-02,2024-06-02,190,11,12,3,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,3,2,2,"Saini-Yogesh, Yogesh Saini",1,3,0.0,0 commits/mo,True,657,716,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Low,1.33,Poor,JavaScript (50.2%) | CSS (27.2%) | HTML (22.6%),None Detected,5.79,0,0,0,0,True
Saini-Yogesh,True,,2024-04-02,2026-09-02,0,0,0,0,0,,,,10,1,1,Yogesh Saini,1,10,29.0,0.3 commits/mo,True,0,0,0.0%,N/A,0.0%,,,,,,Not found in README,Clean,Low,2.01,Poor,N/A,None Detected,5.37,0,0,0,0,True
SAMS,True,,2024-04-08,2024-08-11,716,0,7,1,1,C++,,C++,6,2,4,"yogesh saini, Saini-Yogesh, Yogesh Saini, Yogesh Saini",1,4,4.1,1.5 commits/mo,True,6409,6498,0.0%,High,10.0%,,,,,,Not found in README,Review Required (1),Low,1.99,Poor,C++ (100.0%),None Detected,6.22,0,0,0,0,True
SAMS-rough-work,True,,2024-05-28,2024-05-28,1443,0,18,7,1,C++,,C++,2,2,2,"Yogesh Saini, yogesh saini",1,1,0.0,0 commits/mo,True,12820,13044,0.0%,Moderate,9.4%,,,,,,Not found in README,Review Required (3),Low,1.57,Poor,C++ (100.0%),None Detected,5.91,0,0,0,0,True
scroll-to-top-extension,True,,2025-08-13,2025-08-13,27,6,4,2,1,JavaScript,JavaScript,,4,2,2,"Yogesh Saini, Yogesh Saini",1,3,0.0,0 commits/mo,True,267,306,0.0%,Moderate,0.0%,,,,,,Not found in README,Clean,Medium,1.31,Poor,JavaScript (100.0%),None Detected,5.88,0,0,0,0,True
Second-Brain,True,Gnu General Public,2025-05-31,2026-09-03,8598,276,1286,24,2,JavaScript | HTML,HTML | JavaScript,,107,15,15,"sohzm, Saini-Yogesh, barış, Yogesh Saini, soham, yogesh-saini-data, Aryan Sawhney, Bilgi Lovelace, Deep Santoshwar, M, ManojINaik, Sandeep Srinivasa, Sushil Bang, d333sh, jakob pl",1,79,15.1,7.1 commits/mo,True,74929,74533,0.0%,Moderate,8.2%,code_imports: React,React,,,,Present,Clean,Medium,5.47,Fair,JavaScript (97.9%),React (100.0%),12.42,4,0,4,3,True
segment-tree-visualization,True,,2025-02-08,2026-07-21,5229,166,844,47,3,JavaScript | CSS | C++,CSS | JavaScript,C++,47,3,4,"Yogesh Saini, Saini-Yogesh, Yogesh Saini, Vercel",1,34,17.3,2.7 commits/mo,True,42018,43886,0.0%,Moderate,8.6%,"package.json: react,next | code_imports: React,Next.js",React,,,,Present,Clean,High,4.35,Fair,JavaScript (86.2%) | CSS (11.7%),Next.js (60.6%) | React (39.4%),10.4,3,0,3,3,True
Spotify-Data-Analysis-using-SQL,True,,2025-08-29,2026-01-09,166,76,157,2,0,,,,4,1,2,"Yogesh Saini, Saini-Yogesh",1,4,4.3,0.9 commits/mo,True,1995,2510,0.0%,Moderate,0.0%,,,,Sql (Schema Found),,Not found in README,Clean,High,1.5,Poor,N/A,None Detected,5.83,0,0,0,0,True
SQL-data-warehouse-project,True,,2025-10-21,2025-10-21,995,349,125,19,0,,,,2,1,1,Yogesh Saini,1,1,0.0,0 commits/mo,True,11052,12509,0.0%,Moderate,20.0%,,,,Sql (Schema Found),,Present,Clean,High,1.1,Poor,N/A,None Detected,5.69,0,0,0,0,True
Telegram-AI-Chatbot,True,,2025-01-28,2025-01-30,229,26,58,10,1,JavaScript,JavaScript,,7,2,2,"Yogesh Saini, Yogesh Saini",1,7,0.1,70.0 commits/mo,True,2354,2496,0.0%,Moderate,8.3%,package.json: express,,Express,MongoDB,,Present,Clean,High,1.4,Poor,JavaScript (100.0%),None Detected,6.53,0,0,0,0,True
TextUtils,True,,2024-06-19,2024-07-11,489,10,10,8,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,12,1,1,Yogesh Saini,2,4,0.7,17.1 commits/mo,True,2968,3112,0.0%,Low,9.1%,package.json: react | code_imports: React,React,,,,Present,Clean,High,1.22,Poor,JavaScript (88.2%) | HTML (9.2%),React (100.0%),5.83,0,0,0,0,True
Tic-Tac-Toe-game,True,,2024-06-02,2024-06-17,223,11,12,3,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,4,2,2,"Saini-Yogesh, Yogesh Saini",1,2,0.5,8.0 commits/mo,True,801,917,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Low,1.41,Poor,JavaScript (54.9%) | CSS (27.9%) | HTML (17.2%),None Detected,5.63,0,0,0,0,True
Trip-connect,True,,2024-06-10,2026-07-13,9168,293,1304,78,3,JavaScript | CSS | HTML,CSS | HTML | JavaScript,,67,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",3,53,25.1,2.7 commits/mo,True,46215,50242,0.0%,Low,8.5%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB,,Present,Review Required (3),High,4.74,Fair,JavaScript (72.9%) | CSS (26.2%),React (89.7%) | Express (6.0%),6.79,0,0,0,0,True
TripConnect-HTML-CSS,True,,2024-07-09,2024-07-09,2552,100,27,15,2,CSS | HTML,CSS | HTML,,2,2,2,"Yogesh Saini, Yogesh Saini",1,2,0.0,0 commits/mo,True,0,0,0.0%,Low,0.0%,,,,,,Not found in README,Clean,Low,1.79,Poor,HTML (61.0%) | CSS (39.0%),None Detected,6.42,0,0,0,0,True
typescript,True,,2025-05-13,2025-05-18,353,106,88,21,3,TypeScript | JavaScript | HTML,HTML | JavaScript | TypeScript,,6,2,2,"Yogesh Saini, Yogesh Saini",1,2,0.2,30.0 commits/mo,True,3298,3335,13.0%,Moderate,24.0%,,,,,,Not found in README,Clean,Low,1.43,Poor,TypeScript (76.3%) | JavaScript (20.6%),React (100.0%),5.64,0,0,0,0,True
WhatsApp-AI-Chatbot,True,,2025-03-28,2026-07-13,6833,185,869,41,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,78,5,6,"Saini-Yogesh, Yogesh Saini, Yogesh Saini, Sahil7811, Vercel, Ronak",3,49,15.5,5.0 commits/mo,True,25397,27173,0.0%,Low,7.9%,"package.json: react,express | code_imports: React,Express",React,Express,MongoDB | Redis,Openai | Twilio,Present,Clean,High,5.21,Fair,JavaScript (56.6%) | CSS (40.1%),React (83.6%) | Next.js (13.9%),15.25,7,0,7,7,True
